Year,Rank,Movie Name,MovieURL,Gross,Theaters,Total Gross,Release Date
2023,46,Saw X,https://www.boxofficemojo.com/release/rl1926595329/?ref_=bo_yld_table_46,,,"$53,607,898","3,262"
2023,47,Air,https://www.boxofficemojo.com/release/rl2106295041/?ref_=bo_yld_table_47,,,"$52,460,106","3,507"
2023,48,Jesus Revolution,https://www.boxofficemojo.com/release/rl466125569/?ref_=bo_yld_table_48,,,"$52,102,987","2,575"
2023,49,No Hard Feelings,https://www.boxofficemojo.com/release/rl4174349057/?ref_=bo_yld_table_49,,,"$50,452,282","3,208"
2023,50,Talk to Me,https://www.boxofficemojo.com/release/rl3548742401/?ref_=bo_yld_table_50,,,"$48,299,436","2,379"
2023,51,Godzilla Minus One,https://www.boxofficemojo.com/release/rl1285456641/?ref_=bo_yld_table_51,,,"$45,580,412","2,622"
2023,52,Gran Turismo,https://www.boxofficemojo.com/release/rl3788079873/?ref_=bo_yld_table_52,,,"$44,428,554","3,856"
2023,53,The Color Purple,https://www.boxofficemojo.com/release/rl577012481/?ref_=bo_yld_table_53,,,"$44,047,642","3,218"
2023,54,The Boogeyman,https://www.boxofficemojo.com/release/rl3958932225/?ref_=bo_yld_table_54,,,"$43,244,282","3,205"
2023,55,A Haunting in Venice,https://www.boxofficemojo.com/release/rl216040193/?ref_=bo_yld_table_55,,,"$42,471,412","3,305"
2023,56,The Creator,https://www.boxofficemojo.com/release/rl3888743169/?ref_=bo_yld_table_56,,,"$40,774,679","3,680"
2023,57,80 for Brady,https://www.boxofficemojo.com/release/rl3470820097/?ref_=bo_yld_table_57,,,"$39,330,588","3,939"
2023,58,The Boy and the Heron,https://www.boxofficemojo.com/release/rl4222321409/?ref_=bo_yld_table_58,,,"$35,846,555","2,325"
2023,59,Knock at the Cabin,https://www.boxofficemojo.com/release/rl3793191681/?ref_=bo_yld_table_59,,,"$35,397,980","3,657"
2023,60,Renaissance: A Film by Beyoncé,https://www.boxofficemojo.com/release/rl347177729/?ref_=bo_yld_table_60,,,"$33,223,373","2,542"
2023,61,Missing,https://www.boxofficemojo.com/release/rl3403318017/?ref_=bo_yld_table_61,,,"$32,502,025","3,025"
2023,62,Plane,https://www.boxofficemojo.com/release/rl1992983297/?ref_=bo_yld_table_62,,,"$32,111,181","3,060"
2023,63,65,https://www.boxofficemojo.com/release/rl4235821825/?ref_=bo_yld_table_63,,,"$32,062,904","3,405"
2023,64,Thanksgiving,https://www.boxofficemojo.com/release/rl2760606465/?ref_=bo_yld_table_64,,,"$31,800,773","3,204"
2023,65,My Big Fat Greek Wedding 3,https://www.boxofficemojo.com/release/rl780174081/?ref_=bo_yld_table_65,,,"$28,496,030","3,678"
2023,66,Asteroid City,https://www.boxofficemojo.com/release/rl1592820481/?ref_=bo_yld_table_66,,,"$28,153,025","1,901"
2023,67,Magic Mike's Last Dance,https://www.boxofficemojo.com/release/rl503218945/?ref_=bo_yld_table_67,,,"$26,005,156","3,034"
2023,68,Anyone But You,https://www.boxofficemojo.com/release/rl3616572161/?ref_=bo_yld_table_68,,,"$24,837,385","3,055"
2023,69,Strays,https://www.boxofficemojo.com/release/rl3174007553/?ref_=bo_yld_table_69,,,"$23,988,885","3,232"
2023,70,The Boys in the Boat,https://www.boxofficemojo.com/release/rl43614977/?ref_=bo_yld_table_70,,,"$21,998,472","2,687"
2023,71,Priscilla,https://www.boxofficemojo.com/release/rl1218675457/?ref_=bo_yld_table_71,,,"$20,900,492","2,361"
2023,72,"Are You There God? It's Me, Margaret.",https://www.boxofficemojo.com/release/rl4079649537/?ref_=bo_yld_table_72,,,"$20,372,406","3,343"
2023,73,The Pope's Exorcist,https://www.boxofficemojo.com/release/rl1187939073/?ref_=bo_yld_table_73,,,"$20,009,380","3,178"
2023,74,The Holdovers,https://www.boxofficemojo.com/release/rl92504833/?ref_=bo_yld_table_74,,,"$18,208,655","1,601"
2023,75,The Blackening,https://www.boxofficemojo.com/release/rl2565833473/?ref_=bo_yld_table_75,,,"$17,707,207","1,775"
2023,76,Book Club: The Next Chapter,https://www.boxofficemojo.com/release/rl1943044865/?ref_=bo_yld_table_76,,,"$17,581,565","3,513"
2023,77,Pathaan,https://www.boxofficemojo.com/release/rl1474921217/?ref_=bo_yld_table_77,,,"$17,487,476",697
2023,78,Black Panther: Wakanda Forever,https://www.boxofficemojo.com/release/rl3573908993/?ref_=bo_yld_table_78,,,"$17,329,414","4,396"
2023,79,Renfield,https://www.boxofficemojo.com/release/rl590381825/?ref_=bo_yld_table_79,,,"$17,297,895","3,378"
2023,80,The Blind,https://www.boxofficemojo.com/release/rl2123662081/?ref_=bo_yld_table_80,,,"$17,265,487","1,715"
2023,81,The Covenant,https://www.boxofficemojo.com/release/rl1928692481/?ref_=bo_yld_table_81,,,"$16,938,039","2,631"
2023,82,The Expendables 4,https://www.boxofficemojo.com/release/rl2783019777/?ref_=bo_yld_table_82,,,"$16,710,153","3,518"
2023,83,Champions,https://www.boxofficemojo.com/release/rl2395767553/?ref_=bo_yld_table_83,,,"$16,397,335","3,039"
2023,84,The Iron Claw,https://www.boxofficemojo.com/release/rl1537442561/?ref_=bo_yld_table_84,,,"$15,964,922","2,794"
2023,85,Ruby Gillman: Teenage Kraken,https://www.boxofficemojo.com/release/rl176587521/?ref_=bo_yld_table_85,,,"$15,753,600","3,408"
2023,86,Jawan,https://www.boxofficemojo.com/release/rl2106360577/?ref_=bo_yld_table_86,,,"$15,198,530",826
2023,87,"Titanic
25 Year Anniversary",https://www.boxofficemojo.com/release/rl3167650561/?ref_=bo_yld_table_87,,,"$15,033,795","2,464"
2023,88,Animal,https://www.boxofficemojo.com/release/rl3300557569/?ref_=bo_yld_table_88,,,"$14,772,820",698
2023,89,Dumb Money,https://www.boxofficemojo.com/release/rl3028583169/?ref_=bo_yld_table_89,,,"$13,925,356","2,837"
2023,90,The Last Voyage of the Demeter,https://www.boxofficemojo.com/release/rl2382856961/?ref_=bo_yld_table_90,,,"$13,637,180","2,715"
